year,i_iso3,pop
2002,PHL,81365260
2002,PLW,19642
2002,PNG,6098621
2002,PRK,23339453
2002,PYF,248976
2002,ROA,248768975
2002,SCA,536388173
2002,SGP,4104407
2002,SLB,435434
2002,THA,64069093
2002,TKL,1438
2002,TLS,922699
2002,TON,99023
2002,TUV,9593
2002,TWN,22262297
2002,USA,287279312
2002,VNM,81534406
2002,VUT,193927
2002,WLF,14991
2002,WSM,176410
2003,AFG,23680871
2003,AFR,882315068
2003,ASM,59495
2003,AUS,19624163
2003,BGD,134791598
2003,BRN,353295
2003,BTN,627840
2003,CAN,31488046
2003,CHN,1315303522
2003,COK,18609
2003,EUR,725033378
2003,FJI,816078
2003,FSM,106902
2003,GUM,157723
2003,HKG,6724687
2003,IDN,220309473
2003,IND,1111523146
2003,IRN,68122947
2003,JPN,128058368
2003,KHM,12856171
2003,KIR,88840
2003,KOR,48260901
2003,LAO,5576640
2003,LKA,19224036
2003,MAC,460157
2003,MDV,302681
2003,MHL,53465
2003,MMR,48148907
2003,MNG,2468765
2003,MNP,57954
2003,MYS,24698821
2003,NCL,229251
2003,NIU,1748
2003,NPL,25080880
2003,NRU,9990
2003,NZL,4022074
2003,PAK,153093371
2003,PHL,83051970
2003,PLW,19812
2003,PNG,6223378
2003,PRK,23542434
2003,PYF,252707
2003,ROA,253525498
2003,SCA,543490554
2003,SGP,4129227
2003,SLB,447016
2003,THA,64549867
2003,TKL,1348
2003,TLS,947110
2003,TON,99591
2003,TUV,9724
2003,TWN,22419785
2003,USA,289815567
2003,VNM,82301650
2003,VUT,198960
2003,WLF,15098
2003,WSM,177481
2004,AFG,24726689
2004,AFR,904278334
2004,ASM,59684
2004,AUS,19879654
2004,BGD,136986429
2004,BRN,359434
2004,BTN,638809
2004,CAN,31815490
2004,CHN,1323084639
2004,COK,18892
2004,EUR,726045195
2004,FJI,817864
2004,FSM,106624
2004,GUM,158094
2004,HKG,6744563
2004,IDN,223285666
2004,IND,1129623466
2004,IRN,68951279
