year,o_name,d_name,q50,q10,q90
2000,ASM,PYF,0,0,0
2000,ASM,SGP,0,0,1
2000,ASM,SLB,0,0,0
2000,ASM,THA,26,20,32
2000,ASM,TKL,0,0,0
2000,ASM,TLS,0,0,0
2000,ASM,TON,9,7,12
2000,ASM,TUV,0,0,0
2000,ASM,TWN,0,0,0
2000,ASM,USA,36,28,45
2000,ASM,VNM,4,2,5
2000,ASM,VUT,0,0,0
2000,ASM,WLF,1,1,2
2000,ASM,WSM,124,94,162
2000,ASM,AFR,48,37,62
2000,ASM,EUR,18,14,23
2000,ASM,ROA,0,0,1
2000,ASM,SCA,3,2,3
2000,AUS,AFG,215,208,223
2000,AUS,ASM,78,69,90
2000,AUS,AUS,0,0,0
2000,AUS,BGD,343,336,351
2000,AUS,BRN,60,59,62
2000,AUS,BTN,1,1,1
2000,AUS,CAN,581.5,506.9,658
2000,AUS,CHN,39669,36620.3,42776.6
2000,AUS,COK,32,28,36
2000,AUS,FJI,1226,1176.9,1281.1
2000,AUS,FSM,16,13,19
2000,AUS,GUM,12,11,13
2000,AUS,HKG,207,170,253
2000,AUS,IDN,7029.5,6676.6,7353.1
2000,AUS,IND,11231,10298.9,12282.2
2000,AUS,IRN,1463,1376.9,1577
2000,AUS,JPN,12303,12021.7,12647.2
2000,AUS,KHM,953,849.9,1064
2000,AUS,KIR,53,48.9,57
2000,AUS,KOR,2789.5,2443.9,3137
2000,AUS,LAO,253,232,276
2000,AUS,LKA,1050,1004,1108
2000,AUS,MAC,10,9,12
2000,AUS,MDV,9,8,9
2000,AUS,MHL,3,3,3
2000,AUS,MMR,347,326.9,368
2000,AUS,MNG,4,4,5
2000,AUS,MNP,1,1,1
2000,AUS,MYS,2656,2614.9,2705
2000,AUS,NCL,190,185,195
2000,AUS,NIU,3,3,3
2000,AUS,NPL,37,36,39
2000,AUS,NRU,22,20,24
2000,AUS,NZL,10052.5,9064.7,11083.2
2000,AUS,PAK,483,475,493
2000,AUS,PHL,4239,4106.9,4377.1
2000,AUS,PLW,1,1,1
2000,AUS,PNG,6549,5598.9,7667.1
2000,AUS,PRK,17,16,19
2000,AUS,PYF,143,137,149
2000,AUS,SGP,428,370.9,488.1
2000,AUS,SLB,78,73,84
2000,AUS,THA,2030,1968.9,2106.1
2000,AUS,TKL,3,2,3
2000,AUS,TLS,22,22,23
2000,AUS,TON,90,86,95
2000,AUS,TUV,5,4,5
2000,AUS,TWN,4243.5,4062.9,4446.1
2000,AUS,USA,7380,7270,7507
2000,AUS,VNM,4499,4066.8,4979.2
2000,AUS,VUT,109,100,119
2000,AUS,WLF,7,6,8
2000,AUS,WSM,132,126,141
2000,AUS,AFR,5674,5594.9,5745.1
2000,AUS,EUR,62107,61242.8,62890
2000,AUS,ROA,11635,11472,11781.1
2000,AUS,SCA,3082,3039,3121
2000,BGD,AFG,162,144,184.1
2000,BGD,ASM,0,0,0
2000,BGD,AUS,1391,1313,1464
2000,BGD,BGD,0,0,0
2000,BGD,BRN,39,35,44
2000,BGD,BTN,37,33,42
2000,BGD,CAN,2039,1875.8,2216
2000,BGD,CHN,19589.5,16581.9,23366.6
2000,BGD,COK,0,0,0
2000,BGD,FJI,48,42,54
2000,BGD,FSM,0,0,0
2000,BGD,GUM,0,0,0
2000,BGD,HKG,197,163,240
2000,BGD,IDN,7855.5,7053.8,8838.1
2000,BGD,IND,424488,373315,481574.4
2000,BGD,IRN,2390,2129.9,2691.5
2000,BGD,JPN,3933,3511.9,4414.1
2000,BGD,KHM,944.5,837,1103.4
2000,BGD,KIR,0,0,0
2000,BGD,KOR,536,491,580.1
2000,BGD,LAO,2897.5,2581.7,3330.6
2000,BGD,LKA,122,108,138
2000,BGD,MAC,0,0,0
2000,BGD,MDV,183,164,206
2000,BGD,MHL,0,0,0
2000,BGD,MMR,11939,10710,13641.6
2000,BGD,MNG,3,2,3
2000,BGD,MNP,23,20,26
2000,BGD,MYS,7841,6994.8,8855
2000,BGD,NCL,30.5,27,34
2000,BGD,NIU,0,0,0
2000,BGD,NPL,642,570,725.1
2000,BGD,NRU,0,0,0
2000,BGD,NZL,171,162,182
2000,BGD,PAK,1782,1589,2006.2
2000,BGD,PHL,137,122,155
2000,BGD,PLW,0,0,0
2000,BGD,PNG,108,90,136
2000,BGD,PRK,53,47,60
2000,BGD,PYF,11,10,13
2000,BGD,SGP,635,558.9,734
2000,BGD,SLB,1,1,2
2000,BGD,THA,2349.5,2081.9,2649
2000,BGD,TKL,0,0,0
2000,BGD,TLS,4,3,5
2000,BGD,TON,0,0,0
2000,BGD,TUV,0,0,0
2000,BGD,TWN,798,708.9,900.2
2000,BGD,USA,83114.5,73927.5,93370.8
2000,BGD,VNM,1404,1214,1640.3
2000,BGD,VUT,4,3,4
2000,BGD,WLF,0,0,0
2000,BGD,WSM,0,0,0
2000,BGD,AFR,1707,1524.9,1922.2
2000,BGD,EUR,133919.5,119665.9,150831.9
2000,BGD,ROA,54423.5,48630.7,61296.5
2000,BGD,SCA,1952,1744.9,2199.2
2000,BRN,AFG,0,0,0
2000,BRN,ASM,0,0,0
2000,BRN,AUS,75,62,87
2000,BRN,BGD,14,12,17
2000,BRN,BRN,0,0,0
2000,BRN,BTN,0,0,0
2000,BRN,CAN,19,16,22
2000,BRN,CHN,283,234,346
2000,BRN,COK,0,0,0
2000,BRN,FJI,0,0,0
2000,BRN,FSM,0,0,0
2000,BRN,GUM,0,0,0
2000,BRN,HKG,0,0,1
2000,BRN,IDN,198,167.9,235
2000,BRN,IND,1690,1362.9,2081.2
2000,BRN,IRN,0,0,0
2000,BRN,JPN,622,527,736
2000,BRN,KHM,0,0,0
2000,BRN,KIR,0,0,0
2000,BRN,KOR,108,89,127
2000,BRN,LAO,0,0,0
2000,BRN,LKA,14,12,16
2000,BRN,MAC,0,0,0
2000,BRN,MDV,0,0,0
2000,BRN,MHL,0,0,0
2000,BRN,MMR,0,0,0
2000,BRN,MNG,0,0,0
2000,BRN,MNP,0,0,0
2000,BRN,MYS,542,455,649
2000,BRN,NCL,0,0,0
2000,BRN,NIU,0,0,0
2000,BRN,NPL,58,49,69
2000,BRN,NRU,0,0,0
2000,BRN,NZL,2,2,2
2000,BRN,PAK,10,9,12
2000,BRN,PHL,240,202,287
2000,BRN,PLW,0,0,0
2000,BRN,PNG,0,0,0
2000,BRN,PRK,0,0,0
2000,BRN,PYF,0,0,0
2000,BRN,SGP,19,14,25
2000,BRN,SLB,0,0,0
2000,BRN,THA,489,417,577
2000,BRN,TKL,0,0,0
2000,BRN,TLS,0,0,0
2000,BRN,TON,0,0,0
2000,BRN,TUV,0,0,0
2000,BRN,TWN,0,0,0
2000,BRN,USA,149,124,178
2000,BRN,VNM,0,0,0
2000,BRN,VUT,0,0,0
2000,BRN,WLF,0,0,0
2000,BRN,WSM,0,0,0
2000,BRN,AFR,4,4,5
2000,BRN,EUR,138,116,164
2000,BRN,ROA,2,1,2
2000,BRN,SCA,0,0,0
2000,BTN,AFG,0,0,0
2000,BTN,ASM,0,0,0
2000,BTN,AUS,0,0,1
2000,BTN,BGD,27,24,31
2000,BTN,BRN,0,0,0
2000,BTN,BTN,0,0,0
2000,BTN,CAN,0,0,0
2000,BTN,CHN,16,14,18
2000,BTN,COK,0,0,0
2000,BTN,FJI,0,0,0
2000,BTN,FSM,0,0,0
2000,BTN,GUM,0,0,0
2000,BTN,HKG,0,0,0
2000,BTN,IDN,0,0,0
2000,BTN,IND,3248,2821.8,3762.1
2000,BTN,IRN,0,0,0
2000,BTN,JPN,2,2,3
2000,BTN,KHM,0,0,0
2000,BTN,KIR,0,0,0
2000,BTN,KOR,1,1,2
2000,BTN,LAO,0,0,0
2000,BTN,LKA,1,1,1
2000,BTN,MAC,0,0,0
2000,BTN,MDV,0,0,0
2000,BTN,MHL,0,0,0
2000,BTN,MMR,0,0,0
2000,BTN,MNG,0,0,0
2000,BTN,MNP,0,0,0
2000,BTN,MYS,0,0,0
2000,BTN,NCL,0,0,0
2000,BTN,NIU,0,0,0
2000,BTN,NPL,992,858.8,1143
2000,BTN,NRU,0,0,0
2000,BTN,NZL,0,0,0
2000,BTN,PAK,24,21,28
2000,BTN,PHL,7,6,7
2000,BTN,PLW,0,0,0
2000,BTN,PNG,0,0,0
2000,BTN,PRK,0,0,0
2000,BTN,PYF,0,0,0
2000,BTN,SGP,0,0,0
2000,BTN,SLB,0,0,0
2000,BTN,THA,4,4,5
2000,BTN,TKL,0,0,0
2000,BTN,TLS,0,0,0
2000,BTN,TON,0,0,0
2000,BTN,TUV,0,0,0
2000,BTN,TWN,0,0,0
2000,BTN,USA,41,35,47
2000,BTN,VNM,0,0,0
2000,BTN,VUT,0,0,0
2000,BTN,WLF,0,0,0
2000,BTN,WSM,0,0,0
2000,BTN,AFR,69,60,80
2000,BTN,EUR,132,114,151
2000,BTN,ROA,6,5,7
2000,BTN,SCA,24,21,27
2000,CAN,AFG,106,100.9,111
2000,CAN,ASM,0,0,0
2000,CAN,AUS,203,179,229
2000,CAN,BGD,107,104,111
2000,CAN,BRN,15,15,16
2000,CAN,BTN,0,0,0
2000,CAN,CAN,0,0,0
2000,CAN,CHN,14050.5,13022.8,15121.8
2000,CAN,COK,0,0,0
2000,CAN,FJI,110,104,116
2000,CAN,FSM,0,0,0
2000,CAN,GUM,0,0,0
2000,CAN,HKG,68,56,84
2000,CAN,IDN,305,288,321
2000,CAN,IND,7013,6495.7,7573.1
2000,CAN,IRN,1030.5,970,1104
2000,CAN,JPN,696,674,723
2000,CAN,KHM,222,194,252
2000,CAN,KIR,0,0,0
2000,CAN,KOR,253,220,288.1
2000,CAN,LAO,100,90,112
2000,CAN,LKA,381,358,411
2000,CAN,MAC,5,4,6
2000,CAN,MDV,1,1,1
2000,CAN,MHL,0,0,0
2000,CAN,MMR,30,28,32
2000,CAN,MNG,1,1,1
2000,CAN,MNP,0,0,0
2000,CAN,MYS,113,111,116
2000,CAN,NCL,1,1,1
2000,CAN,NIU,0,0,0
2000,CAN,NPL,5,5,5
2000,CAN,NRU,0,0,0
2000,CAN,NZL,81,72.9,90
2000,CAN,PAK,398,386,410
2000,CAN,PHL,1710,1637,1791.1
2000,CAN,PLW,0,0,0
2000,CAN,PNG,25,21,30
2000,CAN,PRK,6,5,7
2000,CAN,PYF,2,2,2
2000,CAN,SGP,10,9,12
2000,CAN,SLB,0,0,0
2000,CAN,THA,95,90,100
2000,CAN,TKL,0,0,0
2000,CAN,TLS,0,0,0
2000,CAN,TON,0,0,0
2000,CAN,TUV,0,0,0
2000,CAN,TWN,141,134,150
2000,CAN,USA,22309,21882,22810.2
2000,CAN,VNM,1099,970,1243
2000,CAN,VUT,0,0,0
2000,CAN,WLF,0,0,0
2000,CAN,WSM,0,0,0
2000,CAN,AFR,1913,1874,1948
2000,CAN,EUR,15932,15608.6,16227
2000,CAN,ROA,1480.5,1450,1508
2000,CAN,SCA,4570,4477.8,4655
2000,CHN,AFG,193,165,228
2000,CHN,ASM,168,131,221
2000,CHN,AUS,58944.5,55055.5,62970.4
2000,CHN,BGD,64005,54685.7,76183.9
2000,CHN,BRN,715,610,853
2000,CHN,BTN,220,192,255
2000,CHN,CAN,65709,61200.1,70192.3
2000,CHN,CHN,0,0,0
2000,CHN,COK,1,1,2
2000,CHN,FJI,661,563.8,791
2000,CHN,FSM,35,28,45
2000,CHN,GUM,1011,824,1256.1
2000,CHN,HKG,60378.5,48183.7,77009.2
2000,CHN,IDN,295382.5,252002.7,350012.9
2000,CHN,IND,403608.5,327377.9,511430.7
2000,CHN,IRN,21303.5,17432.9,26432.3
2000,CHN,JPN,372223.5,322191.4,436728.4
2000,CHN,KHM,9227.5,8056.8,10766.4
2000,CHN,KIR,32,28,38
2000,CHN,KOR,90784,85759.1,96063.8
2000,CHN,LAO,3267,2873.9,3766.2
2000,CHN,LKA,4660.5,3904.8,5674.2
2000,CHN,MAC,12050,10746,13987.9
2000,CHN,MDV,8,7,10
2000,CHN,MHL,89,76,105
2000,CHN,MMR,57463,49126,67498.5
2000,CHN,MNG,2614.5,2259,3048.3
2000,CHN,MNP,3202.5,2725.9,3848.1
2000,CHN,MYS,44231.5,37694.1,52792.8
2000,CHN,NCL,155,130.9,186
2000,CHN,NIU,0,0,0
2000,CHN,NPL,10406,8933.9,12358.4
2000,CHN,NRU,131,99,159
2000,CHN,NZL,16713,15422.6,18048.8
2000,CHN,PAK,7760.5,6642.7,9174.5
2000,CHN,PHL,145328.5,123053,175149.1
2000,CHN,PLW,312,271.9,362
2000,CHN,PNG,3558,2997.8,4249.8
2000,CHN,PRK,33357,28577.4,39463.1
2000,CHN,PYF,469,412.9,539
2000,CHN,SGP,15713.5,12759.6,19588.1
2000,CHN,SLB,201,164,247
2000,CHN,THA,43571.5,36410.8,52890.3
2000,CHN,TKL,0,0,0
2000,CHN,TLS,318.5,274,375
2000,CHN,TON,41,35,51
2000,CHN,TUV,0,0,0
2000,CHN,TWN,93081.5,79177.1,112001.2
