year,o_name,d_name,q10,q50,q90
2000,ASM,PYF,0,0,0
2000,ASM,SGP,0,0,1
2000,ASM,SLB,0,0,0
2000,ASM,THA,20,26,32
2000,ASM,TKL,0,0,0
2000,ASM,TLS,0,0,0
2000,ASM,TON,7,9,12
2000,ASM,TUV,0,0,0
2000,ASM,TWN,0,0,0
2000,ASM,USA,28,36,45
2000,ASM,VNM,2,4,5
2000,ASM,VUT,0,0,0
2000,ASM,WLF,1,1,2
2000,ASM,WSM,94,124,162
2000,ASM,AFR,37,48,62
2000,ASM,EUR,14,18,23
2000,ASM,ROA,0,0,1
2000,ASM,SCA,2,3,3
2000,AUS,AFG,208,215,223
2000,AUS,ASM,69,78,90
2000,AUS,AUS,0,0,0
2000,AUS,BGD,336,343,351
2000,AUS,BRN,59,60,62
2000,AUS,BTN,1,1,1
2000,AUS,CAN,506.9,581.5,658
2000,AUS,CHN,36620.3,39669,42776.6
2000,AUS,COK,28,32,36
2000,AUS,FJI,1176.9,1226,1281.1
2000,AUS,FSM,13,16,19
2000,AUS,GUM,11,12,13
2000,AUS,HKG,170,207,253
2000,AUS,IDN,6676.6,7029.5,7353.1
2000,AUS,IND,10298.9,11231,12282.2
2000,AUS,IRN,1376.9,1463,1577
2000,AUS,JPN,12021.7,12303,12647.2
2000,AUS,KHM,849.9,953,1064
2000,AUS,KIR,48.9,53,57
2000,AUS,KOR,2443.9,2789.5,3137
2000,AUS,LAO,232,253,276
2000,AUS,LKA,1004,1050,1108
2000,AUS,MAC,9,10,12
2000,AUS,MDV,8,9,9
2000,AUS,MHL,3,3,3
2000,AUS,MMR,326.9,347,368
2000,AUS,MNG,4,4,5
2000,AUS,MNP,1,1,1
2000,AUS,MYS,2614.9,2656,2705
2000,AUS,NCL,185,190,195
2000,AUS,NIU,3,3,3
2000,AUS,NPL,36,37,39
2000,AUS,NRU,20,22,24
2000,AUS,NZL,9064.7,10052.5,11083.2
2000,AUS,PAK,475,483,493
2000,AUS,PHL,4106.9,4239,4377.1
2000,AUS,PLW,1,1,1
2000,AUS,PNG,5598.9,6549,7667.1
2000,AUS,PRK,16,17,19
2000,AUS,PYF,137,143,149
2000,AUS,SGP,370.9,428,488.1
2000,AUS,SLB,73,78,84
2000,AUS,THA,1968.9,2030,2106.1
2000,AUS,TKL,2,3,3
2000,AUS,TLS,22,22,23
2000,AUS,TON,86,90,95
2000,AUS,TUV,4,5,5
2000,AUS,TWN,4062.9,4243.5,4446.1
2000,AUS,USA,7270,7380,7507
2000,AUS,VNM,4066.8,4499,4979.2
2000,AUS,VUT,100,109,119
2000,AUS,WLF,6,7,8
2000,AUS,WSM,126,132,141
2000,AUS,AFR,5594.9,5674,5745.1
2000,AUS,EUR,61242.8,62107,62890
2000,AUS,ROA,11472,11635,11781.1
2000,AUS,SCA,3039,3082,3121
2000,BGD,AFG,144,162,184.1
2000,BGD,ASM,0,0,0
2000,BGD,AUS,1313,1391,1464
2000,BGD,BGD,0,0,0
2000,BGD,BRN,35,39,44
2000,BGD,BTN,33,37,42
2000,BGD,CAN,1875.8,2039,2216
2000,BGD,CHN,16581.9,19589.5,23366.6
2000,BGD,COK,0,0,0
2000,BGD,FJI,42,48,54
2000,BGD,FSM,0,0,0
2000,BGD,GUM,0,0,0
2000,BGD,HKG,163,197,240
2000,BGD,IDN,7053.8,7855.5,8838.1
2000,BGD,IND,373315,424488,481574.4
2000,BGD,IRN,2129.9,2390,2691.5
2000,BGD,JPN,3511.9,3933,4414.1
2000,BGD,KHM,837,944.5,1103.4
2000,BGD,KIR,0,0,0
2000,BGD,KOR,491,536,580.1
2000,BGD,LAO,2581.7,2897.5,3330.6
2000,BGD,LKA,108,122,138
2000,BGD,MAC,0,0,0
2000,BGD,MDV,164,183,206
2000,BGD,MHL,0,0,0
2000,BGD,MMR,10710,11939,13641.6
2000,BGD,MNG,2,3,3
2000,BGD,MNP,20,23,26
2000,BGD,MYS,6994.8,7841,8855
2000,BGD,NCL,27,30.5,34
2000,BGD,NIU,0,0,0
2000,BGD,NPL,570,642,725.1
2000,BGD,NRU,0,0,0
2000,BGD,NZL,162,171,182
2000,BGD,PAK,1589,1782,2006.2
2000,BGD,PHL,122,137,155
2000,BGD,PLW,0,0,0
2000,BGD,PNG,90,108,136
2000,BGD,PRK,47,53,60
2000,BGD,PYF,10,11,13
2000,BGD,SGP,558.9,635,734
2000,BGD,SLB,1,1,2
2000,BGD,THA,2081.9,2349.5,2649
2000,BGD,TKL,0,0,0
2000,BGD,TLS,3,4,5
2000,BGD,TON,0,0,0
2000,BGD,TUV,0,0,0
2000,BGD,TWN,708.9,798,900.2
2000,BGD,USA,73927.5,83114.5,93370.8
2000,BGD,VNM,1214,1404,1640.3
2000,BGD,VUT,3,4,4
2000,BGD,WLF,0,0,0
2000,BGD,WSM,0,0,0
2000,BGD,AFR,1524.9,1707,1922.2
2000,BGD,EUR,119665.9,133919.5,150831.9
2000,BGD,ROA,48630.7,54423.5,61296.5
2000,BGD,SCA,1744.9,1952,2199.2
2000,BRN,AFG,0,0,0
2000,BRN,ASM,0,0,0
2000,BRN,AUS,62,75,87
2000,BRN,BGD,12,14,17
2000,BRN,BRN,0,0,0
2000,BRN,BTN,0,0,0
2000,BRN,CAN,16,19,22
2000,BRN,CHN,234,283,346
2000,BRN,COK,0,0,0
2000,BRN,FJI,0,0,0
2000,BRN,FSM,0,0,0
2000,BRN,GUM,0,0,0
2000,BRN,HKG,0,0,1
2000,BRN,IDN,167.9,198,235
2000,BRN,IND,1362.9,1690,2081.2
2000,BRN,IRN,0,0,0
2000,BRN,JPN,527,622,736
2000,BRN,KHM,0,0,0
2000,BRN,KIR,0,0,0
2000,BRN,KOR,89,108,127
2000,BRN,LAO,0,0,0
2000,BRN,LKA,12,14,16
2000,BRN,MAC,0,0,0
2000,BRN,MDV,0,0,0
2000,BRN,MHL,0,0,0
2000,BRN,MMR,0,0,0
2000,BRN,MNG,0,0,0
2000,BRN,MNP,0,0,0
2000,BRN,MYS,455,542,649
2000,BRN,NCL,0,0,0
2000,BRN,NIU,0,0,0
2000,BRN,NPL,49,58,69
2000,BRN,NRU,0,0,0
2000,BRN,NZL,2,2,2
2000,BRN,PAK,9,10,12
2000,BRN,PHL,202,240,287
2000,BRN,PLW,0,0,0
2000,BRN,PNG,0,0,0
2000,BRN,PRK,0,0,0
2000,BRN,PYF,0,0,0
2000,BRN,SGP,14,19,25
2000,BRN,SLB,0,0,0
2000,BRN,THA,417,489,577
2000,BRN,TKL,0,0,0
2000,BRN,TLS,0,0,0
2000,BRN,TON,0,0,0
2000,BRN,TUV,0,0,0
2000,BRN,TWN,0,0,0
2000,BRN,USA,124,149,178
2000,BRN,VNM,0,0,0
2000,BRN,VUT,0,0,0
2000,BRN,WLF,0,0,0
2000,BRN,WSM,0,0,0
2000,BRN,AFR,4,4,5
2000,BRN,EUR,116,138,164
2000,BRN,ROA,1,2,2
2000,BRN,SCA,0,0,0
2000,BTN,AFG,0,0,0
2000,BTN,ASM,0,0,0
2000,BTN,AUS,0,0,1
2000,BTN,BGD,24,27,31
2000,BTN,BRN,0,0,0
2000,BTN,BTN,0,0,0
2000,BTN,CAN,0,0,0
2000,BTN,CHN,14,16,18
2000,BTN,COK,0,0,0
2000,BTN,FJI,0,0,0
2000,BTN,FSM,0,0,0
2000,BTN,GUM,0,0,0
2000,BTN,HKG,0,0,0
2000,BTN,IDN,0,0,0
2000,BTN,IND,2821.8,3248,3762.1
2000,BTN,IRN,0,0,0
2000,BTN,JPN,2,2,3
2000,BTN,KHM,0,0,0
2000,BTN,KIR,0,0,0
2000,BTN,KOR,1,1,2
2000,BTN,LAO,0,0,0
2000,BTN,LKA,1,1,1
2000,BTN,MAC,0,0,0
2000,BTN,MDV,0,0,0
2000,BTN,MHL,0,0,0
2000,BTN,MMR,0,0,0
2000,BTN,MNG,0,0,0
2000,BTN,MNP,0,0,0
2000,BTN,MYS,0,0,0
2000,BTN,NCL,0,0,0
2000,BTN,NIU,0,0,0
2000,BTN,NPL,858.8,992,1143
2000,BTN,NRU,0,0,0
2000,BTN,NZL,0,0,0
2000,BTN,PAK,21,24,28
2000,BTN,PHL,6,7,7
2000,BTN,PLW,0,0,0
2000,BTN,PNG,0,0,0
2000,BTN,PRK,0,0,0
2000,BTN,PYF,0,0,0
2000,BTN,SGP,0,0,0
2000,BTN,SLB,0,0,0
2000,BTN,THA,4,4,5
2000,BTN,TKL,0,0,0
2000,BTN,TLS,0,0,0
2000,BTN,TON,0,0,0
2000,BTN,TUV,0,0,0
2000,BTN,TWN,0,0,0
2000,BTN,USA,35,41,47
2000,BTN,VNM,0,0,0
2000,BTN,VUT,0,0,0
2000,BTN,WLF,0,0,0
2000,BTN,WSM,0,0,0
2000,BTN,AFR,60,69,80
2000,BTN,EUR,114,132,151
2000,BTN,ROA,5,6,7
2000,BTN,SCA,21,24,27
2000,CAN,AFG,100.9,106,111
2000,CAN,ASM,0,0,0
2000,CAN,AUS,179,203,229
2000,CAN,BGD,104,107,111
2000,CAN,BRN,15,15,16
2000,CAN,BTN,0,0,0
2000,CAN,CAN,0,0,0
2000,CAN,CHN,13022.8,14050.5,15121.8
2000,CAN,COK,0,0,0
2000,CAN,FJI,104,110,116
2000,CAN,FSM,0,0,0
2000,CAN,GUM,0,0,0
2000,CAN,HKG,56,68,84
2000,CAN,IDN,288,305,321
2000,CAN,IND,6495.7,7013,7573.1
2000,CAN,IRN,970,1030.5,1104
2000,CAN,JPN,674,696,723
2000,CAN,KHM,194,222,252
2000,CAN,KIR,0,0,0
2000,CAN,KOR,220,253,288.1
2000,CAN,LAO,90,100,112
2000,CAN,LKA,358,381,411
2000,CAN,MAC,4,5,6
2000,CAN,MDV,1,1,1
2000,CAN,MHL,0,0,0
2000,CAN,MMR,28,30,32
2000,CAN,MNG,1,1,1
2000,CAN,MNP,0,0,0
2000,CAN,MYS,111,113,116
2000,CAN,NCL,1,1,1
2000,CAN,NIU,0,0,0
2000,CAN,NPL,5,5,5
2000,CAN,NRU,0,0,0
2000,CAN,NZL,72.9,81,90
2000,CAN,PAK,386,398,410
2000,CAN,PHL,1637,1710,1791.1
2000,CAN,PLW,0,0,0
2000,CAN,PNG,21,25,30
2000,CAN,PRK,5,6,7
2000,CAN,PYF,2,2,2
2000,CAN,SGP,9,10,12
2000,CAN,SLB,0,0,0
2000,CAN,THA,90,95,100
2000,CAN,TKL,0,0,0
2000,CAN,TLS,0,0,0
2000,CAN,TON,0,0,0
2000,CAN,TUV,0,0,0
2000,CAN,TWN,134,141,150
2000,CAN,USA,21882,22309,22810.2
2000,CAN,VNM,970,1099,1243
2000,CAN,VUT,0,0,0
2000,CAN,WLF,0,0,0
2000,CAN,WSM,0,0,0
2000,CAN,AFR,1874,1913,1948
2000,CAN,EUR,15608.6,15932,16227
2000,CAN,ROA,1450,1480.5,1508
2000,CAN,SCA,4477.8,4570,4655
2000,CHN,AFG,165,193,228
2000,CHN,ASM,131,168,221
2000,CHN,AUS,55055.5,58944.5,62970.4
2000,CHN,BGD,54685.7,64005,76183.9
2000,CHN,BRN,610,715,853
2000,CHN,BTN,192,220,255
2000,CHN,CAN,61200.1,65709,70192.3
2000,CHN,CHN,0,0,0
2000,CHN,COK,1,1,2
2000,CHN,FJI,563.8,661,791
2000,CHN,FSM,28,35,45
2000,CHN,GUM,824,1011,1256.1
2000,CHN,HKG,48183.7,60378.5,77009.2
2000,CHN,IDN,252002.7,295382.5,350012.9
2000,CHN,IND,327377.9,403608.5,511430.7
2000,CHN,IRN,17432.9,21303.5,26432.3
2000,CHN,JPN,322191.4,372223.5,436728.4
2000,CHN,KHM,8056.8,9227.5,10766.4
2000,CHN,KIR,28,32,38
2000,CHN,KOR,85759.1,90784,96063.8
2000,CHN,LAO,2873.9,3267,3766.2
2000,CHN,LKA,3904.8,4660.5,5674.2
2000,CHN,MAC,10746,12050,13987.9
2000,CHN,MDV,7,8,10
2000,CHN,MHL,76,89,105
2000,CHN,MMR,49126,57463,67498.5
2000,CHN,MNG,2259,2614.5,3048.3
2000,CHN,MNP,2725.9,3202.5,3848.1
2000,CHN,MYS,37694.1,44231.5,52792.8
2000,CHN,NCL,130.9,155,186
2000,CHN,NIU,0,0,0
2000,CHN,NPL,8933.9,10406,12358.4
2000,CHN,NRU,99,131,159
2000,CHN,NZL,15422.6,16713,18048.8
2000,CHN,PAK,6642.7,7760.5,9174.5
2000,CHN,PHL,123053,145328.5,175149.1
2000,CHN,PLW,271.9,312,362
2000,CHN,PNG,2997.8,3558,4249.8
2000,CHN,PRK,28577.4,33357,39463.1
2000,CHN,PYF,412.9,469,539
2000,CHN,SGP,12759.6,15713.5,19588.1
2000,CHN,SLB,164,201,247
2000,CHN,THA,36410.8,43571.5,52890.3
2000,CHN,TKL,0,0,0
2000,CHN,TLS,274,318.5,375
2000,CHN,TON,35,41,51
2000,CHN,TUV,0,0,0
2000,CHN,TWN,79177.1,93081.5,112001.2
